# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 3.141562574538901420e-01 5.815888417820203743e-03 7.027066343368650351e-04 2.207561629041688567e-01 4.947965638931974518e-03 9.553622932731741998e-03 2.722330216453953677e-01
1.500000000000000000e+01 3.069340507616847291e-01 1.648015279936823965e-02 3.998303002902793384e-03 3.519203959917900359e-01 3.969988645132158794e-02 5.893107447372642610e-02 3.588927606136005921e-01
2.500000000000000000e+01 2.973695137253714593e-01 2.096796488833837027e-02 6.956716063051545697e-03 3.989205623199892359e-01 7.197353646884918632e-02 1.058798049595156554e-01 4.010849405024382031e-01
3.500000000000000000e+01 2.934235402875258747e-01 2.384060801856963119e-02 9.440488150540854440e-03 4.323385079514894258e-01 9.403254749085668274e-02 1.394519036488691965e-01 4.326069759439422069e-01
4.500000000000000000e+01 2.898342798839868562e-01 2.655933924176014441e-02 1.158481286494220976e-02 4.459872309564879012e-01 1.088251039138745657e-01 1.620144726963773096e-01 4.489179917684260612e-01
5.500000000000000000e+01 2.882748674865696081e-01 2.905982352494247342e-02 1.362032868217583938e-02 4.548409712569993490e-01 1.213730058509703141e-01 1.772405756657519094e-01 4.601782072046604610e-01
6.500000000000000000e+01 2.845993246834312429e-01 3.148401591748976186e-02 1.609780239916232258e-02 4.652326713929944568e-01 1.330444397742049645e-01 1.881881997836247489e-01 4.690100979300252382e-01
7.500000000000000000e+01 2.780566396932516726e-01 3.330885735687635907e-02 1.818606113243131928e-02 4.681107582401842770e-01 1.400824554871726302e-01 1.960404898672659380e-01 4.711039439003509854e-01
8.500000000000000000e+01 2.701092336822537576e-01 3.547181919480050377e-02 1.932610062838432952e-02 4.611114954143840095e-01 1.426529062564436401e-01 2.014587533404458841e-01 4.663397412185418256e-01
9.500000000000000000e+01 2.595232660052948503e-01 3.763405468510195445e-02 1.992685714247021886e-02 4.496238584901278146e-01 1.414750508069651247e-01 2.047607660679039987e-01 4.569539452816633318e-01
1.050000000000000000e+02 2.501101010775545475e-01 3.890822737726720021e-02 2.002347065059743164e-02 4.362004363515888383e-01 1.367353287081486679e-01 2.054796106606038564e-01 4.458950740448736072e-01
1.150000000000000000e+02 2.436508354388117470e-01 3.968861042709512926e-02 1.951805657919652992e-02 4.252840397586556409e-01 1.312550868391603176e-01 2.038280404209367735e-01 4.363814578092021224e-01
1.250000000000000000e+02 2.389606625185635436e-01 4.088649097875019650e-02 1.840356956540041902e-02 4.176112760722859862e-01 1.266631525405614855e-01 2.005423520458432252e-01 4.285571453183463775e-01
1.350000000000000000e+02 2.337121825903432371e-01 4.244694581864816296e-02 1.730765230554012421e-02 4.123120958512260237e-01 1.229014296054592725e-01 1.964389807738780025e-01 4.212316296077236455e-01
1.450000000000000000e+02 2.277882229737581421e-01 4.359014243092521057e-02 1.670056663971675182e-02 4.098351235418788985e-01 1.203409540271379308e-01 1.918668200653012856e-01 4.147450832904691631e-01
1.550000000000000000e+02 2.225171326081272216e-01 4.353193792039581483e-02 1.633230738110628619e-02 4.088581074704717433e-01 1.184513183730685065e-01 1.872079087513183748e-01 4.092915744149586699e-01
1.650000000000000000e+02 2.176168558790333440e-01 4.432727190935249056e-02 1.661052810434914678e-02 4.075703061418375905e-01 1.160647074752937796e-01 1.826444905873510771e-01 4.039158263041109920e-01
1.750000000000000000e+02 2.138273883771830142e-01 4.633913936254270560e-02 1.723937910356528741e-02 4.049048427355374513e-01 1.130470355330326776e-01 1.779928273961313978e-01 3.983625292544259455e-01
1.850000000000000000e+02 2.099724513090209521e-01 4.716630536269531687e-02 1.754770150459932995e-02 3.996210315154991588e-01 1.095520093263573358e-01 1.731149113109765325e-01 3.913541970677483217e-01
1.950000000000000000e+02 2.074145134704087901e-01 4.770942373530121655e-02 1.784773635151986129e-02 3.937027247028823118e-01 1.057689744567662932e-01 1.680187121775717218e-01 3.845679751754313980e-01
2.050000000000000000e+02 2.069475538344829335e-01 4.851062515060143576e-02 1.785130655379936482e-02 3.874721076266063324e-01 1.016255085824454146e-01 1.628067216794639727e-01 3.786131915702766193e-01
2.150000000000000000e+02 2.066920330893582403e-01 4.927538194758465662e-02 1.751473578690128721e-02 3.807188478764766959e-01 9.671703141199947118e-02 1.570892415817582433e-01 3.722500612737965620e-01
2.250000000000000000e+02 2.044343149953378735e-01 5.021508364528586010e-02 1.704324989236296814e-02 3.732667819775293272e-01 9.080436436365151021e-02 1.505452331102960783e-01 3.641231650415816534e-01
2.350000000000000000e+02 2.014821799050273698e-01 5.157234757026567945e-02 1.677562598522347112e-02 3.652993971396295558e-01 8.437379328883826135e-02 1.431132257266568841e-01 3.549474013856568910e-01
2.450000000000000000e+02 1.999966922661388924e-01 5.310551508552998484e-02 1.633620118378339980e-02 3.587800804303619140e-01 7.797824024121287334e-02 1.347441763678899063e-01 3.467604745321953841e-01
2.550000000000000000e+02 1.979374881412700182e-01 5.368045546514745719e-02 1.520664205865137654e-02 3.542523896992996746e-01 7.138349505491750624e-02 1.258261752073501771e-01 3.390080265239599489e-01
2.650000000000000000e+02 1.954658979764019311e-01 5.230377850762280012e-02 1.349742892155016138e-02 3.481610450498371923e-01 6.459803764834010087e-02 1.167040171587469671e-01 3.301654800924930799e-01
2.750000000000000000e+02 1.928109227378242974e-01 4.966374030717912724e-02 1.172819987662154610e-02 3.387426311082043506e-01 5.731668063587280759e-02 1.074803138162294530e-01 3.195169338311290574e-01
